country,forecast_origin,true_values,predictions,forecast_dates
US,2022-07-27,"[131514.85714285713, 135490.7142857143, 134008.7142857143, 132541.57142857142, 129677.57142857143, 123797.57142857143, 118172.14285714286, 119593.0, 112004.85714285714, 111849.71428571429, 111780.57142857143, 109692.28571428571, 110952.85714285714, 110392.85714285714, 106914.85714285714, 105562.85714285714, 115373.57142857143, 114957.0, 110314.71428571429, 109174.42857142857, 100659.28571428571, 98680.85714285714, 95951.57142857143, 85580.14285714286, 85587.85714285714, 86481.0, 87553.71428571429, 89670.28571428571]","[109015.03548002089, 107140.79048680527, 105238.63268642317, 103318.46203440879, 101385.03266133417, 99442.08343663941, 97493.32698578863, 95542.44969026996, 93593.11168759553, 91648.9468713015, 89713.56289094801, 87790.54115211926, 85883.43681642343, 83995.77880149269, 82131.06978098328, 80292.78277227498, 78481.34286658798, 76695.6440766626, 74936.30625842772, 73203.9279204897, 71499.08622413244, 69822.33698331735, 68174.21466468337, 66555.23238754697, 64965.88192390214, 63406.63369842038, 61877.93678845073, 60380.21892401973]","[Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00')]"
US,2022-07-28,"[135490.7142857143, 134008.7142857143, 132541.57142857142, 129677.57142857143, 123797.57142857143, 118172.14285714286, 119593.0, 112004.85714285714, 111849.71428571429, 111780.57142857143, 109692.28571428571, 110952.85714285714, 110392.85714285714, 106914.85714285714, 105562.85714285714, 115373.57142857143, 114957.0, 110314.71428571429, 109174.42857142857, 100659.28571428571, 98680.85714285714, 95951.57142857143, 85580.14285714286, 85587.85714285714, 86481.0, 87553.71428571429, 89670.28571428571, 88317.85714285714]","[107785.55025046237, 106567.23772132596, 105294.15600022444, 103973.16592643398, 102611.9390428742, 101214.92315694682, 99786.10763828325, 98329.38042975591, 96848.52804747812, 95347.23558080418, 93829.08669232934, 92297.56361788981, 90756.04716656278, 89207.81672066635, 87656.05023575961, 86103.82424064257, 84554.11383735623, 83009.79270118252, 81473.63308064436, 79946.63051204324, 78428.82790378157, 76921.58792590682, 75426.18417506461, 73943.80068371519, 72475.53192013338, 71022.38278840856, 69585.26862844473, 68165.01521596045]","[Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00')]"
US,2022-07-29,"[134008.7142857143, 132541.57142857142, 129677.57142857143, 123797.57142857143, 118172.14285714286, 119593.0, 112004.85714285714, 111849.71428571429, 111780.57142857143, 109692.28571428571, 110952.85714285714, 110392.85714285714, 106914.85714285714, 105562.85714285714, 115373.57142857143, 114957.0, 110314.71428571429, 109174.42857142857, 100659.28571428571, 98680.85714285714, 95951.57142857143, 85580.14285714286, 85587.85714285714, 86481.0, 87553.71428571429, 89670.28571428571, 88317.85714285714, 94485.14285714286]","[108047.06563980466, 106540.89985810377, 105069.273216305, 103627.9974806383, 102215.40468912564, 100831.19359839431, 99474.96950678459, 98146.24425434977, 96844.43622285625, 95568.87033578337, 94318.77805832357, 93093.29739738227, 91891.47290157793, 90712.25566124206, 89554.50330841917, 88416.98001686683, 87298.35650205561, 86197.21002116913, 85112.02437310404, 84041.18989847, 82983.0034795897, 81937.3087824077, 80907.0064075383, 79891.84443849245, 78891.41936874516, 77905.34625362688, 76933.25871032353, 75974.80891787646]","[Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00')]"
US,2022-07-30,"[132541.57142857142, 129677.57142857143, 123797.57142857143, 118172.14285714286, 119593.0, 112004.85714285714, 111849.71428571429, 111780.57142857143, 109692.28571428571, 110952.85714285714, 110392.85714285714, 106914.85714285714, 105562.85714285714, 115373.57142857143, 114957.0, 110314.71428571429, 109174.42857142857, 100659.28571428571, 98680.85714285714, 95951.57142857143, 85580.14285714286, 85587.85714285714, 86481.0, 87553.71428571429, 89670.28571428571, 88317.85714285714, 94485.14285714286, 94579.0]","[110327.18975975977, 107223.74632377883, 104392.07043373254, 101801.09721413377, 99430.07823816931, 97258.9053841574, 95268.00101942335, 93438.31800029948, 91751.3396721252, 90189.07986924701, 88734.08291501843, 87370.2528169476, 86089.7208240652, 84887.45441118255, 83758.08596580042, 82696.08922681386, 81695.77928451229, 80751.31258057941, 79856.68690809328, 79005.74141152624, 78192.15658674497, 77409.45428101049, 76651.15994407596, 75917.82438193154, 75209.73025176453, 74524.54784150998, 73860.14213683987, 73214.57282116312]","[Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00')]"
US,2022-07-31,"[129677.57142857143, 123797.57142857143, 118172.14285714286, 119593.0, 112004.85714285714, 111849.71428571429, 111780.57142857143, 109692.28571428571, 110952.85714285714, 110392.85714285714, 106914.85714285714, 105562.85714285714, 115373.57142857143, 114957.0, 110314.71428571429, 109174.42857142857, 100659.28571428571, 98680.85714285714, 95951.57142857143, 85580.14285714286, 85587.85714285714, 86481.0, 87553.71428571429, 89670.28571428571, 88317.85714285714, 94485.14285714286, 94579.0, 94385.85714285714]","[111136.96183497293, 105161.44382880148, 100880.72941688275, 97794.98287115982, 95511.85395286873, 93853.68959254492, 92666.47907750488, 91785.1006991797, 91091.38882604822, 90565.1841373532, 90178.4387822385, 89888.90549606807, 89640.96146848622, 89413.21806924186, 89218.37001030864, 89057.99170949044, 88926.51931600376, 88811.25071047769, 88692.34861665482, 88562.014865411, 88433.5498187919, 88312.41070492072, 88201.21158972052, 88099.7233769142, 88004.87380802452, 87910.7474623741, 87808.58575708541, 87695.48047153576]","[Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00')]"
US,2022-08-02,"[118172.14285714286, 119593.0, 112004.85714285714, 111849.71428571429, 111780.57142857143, 109692.28571428571, 110952.85714285714, 110392.85714285714, 106914.85714285714, 105562.85714285714, 115373.57142857143, 114957.0, 110314.71428571429, 109174.42857142857, 100659.28571428571, 98680.85714285714, 95951.57142857143, 85580.14285714286, 85587.85714285714, 86481.0, 87553.71428571429, 89670.28571428571, 88317.85714285714, 94485.14285714286, 94579.0, 94385.85714285714, 91124.14285714286, 87728.14285714286]","[104535.81578720931, 98110.87145678344, 93998.15493510888, 91273.04986897994, 89517.27279579187, 88378.67006982813, 87568.64610074575, 87023.81863881482, 86669.89365507232, 86393.963276671, 86156.52117178301, 85975.21240093982, 85842.45286937186, 85729.28530064995, 85598.56543857158, 85466.94334260252, 85348.33860119706, 85246.49659745055, 85156.62993436847, 85065.41843486635, 84954.03716444781, 84831.94888082481, 84713.05369994475, 84603.91166202983, 84506.02867755639, 84415.85652725481, 84324.7928621096, 84219.18120335933]","[Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00')]"
US,2022-08-03,"[119593.0, 112004.85714285714, 111849.71428571429, 111780.57142857143, 109692.28571428571, 110952.85714285714, 110392.85714285714, 106914.85714285714, 105562.85714285714, 115373.57142857143, 114957.0, 110314.71428571429, 109174.42857142857, 100659.28571428571, 98680.85714285714, 95951.57142857143, 85580.14285714286, 85587.85714285714, 86481.0, 87553.71428571429, 89670.28571428571, 88317.85714285714, 94485.14285714286, 94579.0, 94385.85714285714, 91124.14285714286, 87728.14285714286, 88089.71428571429]","[104948.38958474925, 104775.86090742612, 103715.24171434215, 102222.66763511072, 100514.54431346565, 98619.26895101904, 96679.1224417273, 94566.27711077445, 92336.34161133984, 90194.80745670265, 87898.98786862174, 85295.97168332874, 82683.66301943784, 80341.7671800781, 77770.3667185702, 75105.00955994462, 72565.09412374841, 69905.05510703105, 67245.22580291574, 64667.49742534262, 61996.73920523033, 59306.130459608845, 56823.27060092509, 54297.347645507114, 51608.20730384033, 49085.920988464844, 46722.47610578881, 44347.051781280716]","[Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00')]"
US,2022-08-06,"[111780.57142857143, 109692.28571428571, 110952.85714285714, 110392.85714285714, 106914.85714285714, 105562.85714285714, 115373.57142857143, 114957.0, 110314.71428571429, 109174.42857142857, 100659.28571428571, 98680.85714285714, 95951.57142857143, 85580.14285714286, 85587.85714285714, 86481.0, 87553.71428571429, 89670.28571428571, 88317.85714285714, 94485.14285714286, 94579.0, 94385.85714285714, 91124.14285714286, 87728.14285714286, 88089.71428571429, 86826.28571428571, 78814.71428571429, 78759.71428571429]","[110327.70385295675, 112102.07766080512, 112262.96859818154, 111442.25228292191, 109960.57057391507, 107975.4765751373, 105688.26719731592, 103226.89999435114, 100595.60013446088, 97827.63808077961, 94991.6223099875, 92148.69410643759, 89275.40517367804, 86362.78807610941, 83421.61240368125, 80482.28167447577, 77591.66025727497, 74752.67961705054, 71932.18315822778, 69114.30163892824, 66301.89892739496, 63516.57200199237, 60798.65095120639, 58187.4615349175, 55635.45136939518, 53133.36938415597, 50685.86636311325, 48303.56673059686]","[Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00')]"
US,2022-08-07,"[109692.28571428571, 110952.85714285714, 110392.85714285714, 106914.85714285714, 105562.85714285714, 115373.57142857143, 114957.0, 110314.71428571429, 109174.42857142857, 100659.28571428571, 98680.85714285714, 95951.57142857143, 85580.14285714286, 85587.85714285714, 86481.0, 87553.71428571429, 89670.28571428571, 88317.85714285714, 94485.14285714286, 94579.0, 94385.85714285714, 91124.14285714286, 87728.14285714286, 88089.71428571429, 86826.28571428571, 78814.71428571429, 78759.71428571429, 78611.0]","[110511.0795126603, 114722.01124602726, 116878.04567251747, 117583.17304913973, 117326.32399524213, 116327.15865101319, 114767.5595827022, 112843.27281602833, 110681.39828797504, 108306.17076737876, 105755.76577835146, 103087.62820953957, 100372.5363806511, 97622.13138313044, 94826.17320194124, 91988.22380471675, 89123.02256270939, 86256.48625079065, 83422.73785279845, 80622.49482978041, 77838.58612872152, 75062.98717996884, 72296.3366815072, 69547.93659895913, 66835.75216558503, 64186.41188228298, 61608.4066054666, 59075.98788051006]","[Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00')]"
US,2022-08-09,"[110392.85714285714, 106914.85714285714, 105562.85714285714, 115373.57142857143, 114957.0, 110314.71428571429, 109174.42857142857, 100659.28571428571, 98680.85714285714, 95951.57142857143, 85580.14285714286, 85587.85714285714, 86481.0, 87553.71428571429, 89670.28571428571, 88317.85714285714, 94485.14285714286, 94579.0, 94385.85714285714, 91124.14285714286, 87728.14285714286, 88089.71428571429, 86826.28571428571, 78814.71428571429, 78759.71428571429, 78611.0, 68262.14285714286, 73538.28571428571]","[120284.4697947778, 122910.50189839122, 122224.50045251315, 120439.37557625992, 118370.93077869205, 116063.54937670585, 113768.96272696876, 111333.13403737605, 108874.39778413434, 106537.4027013871, 103916.15779134308, 101148.2967342704, 98756.18937417452, 96162.43165112135, 93499.69654325944, 90985.43939513549, 88306.89562695136, 85758.20323009123, 83183.43007875867, 80476.28786955304, 78020.10166844765, 75520.12175068878, 72746.23034756664, 70307.5129742838, 67896.441094535, 65359.01077610291, 63006.77808554833, 60634.52149130957]","[Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00'), Timestamp('2022-09-05 00:00:00'), Timestamp('2022-09-06 00:00:00')]"
